id,text,label
4.443.H,O que come um canibal vegetariano? A planta dos pés.,Trocadilho
4.443.N,O que come um animal vegetariano? A planta.,Não trocadilho
5.4048.H,Qual a música preferida dos cachorros? Samba Cãosão.,Trocadilho
5.4048.N,Qual a música preferida dos cachorros? Cão amigo.,Não trocadilho
5.2274.H,Qual é o doce usado em baterias de celular? O pirulithium.,Trocadilho
5.2274.N,Qual é o doce usado em baterias de celular? O pudim.,Não trocadilho
5.310.H,Por que o peixe não tem sorte? Porque pegou uma maré de azar.,Trocadilho
5.310.N,Por que o peixe não tem sorte? Porque pegou uma maré decrescente.,Não trocadilho
5.2440.H,Qual é a cobra que desperta o tigre em você? A sucurilhos.,Trocadilho
5.2440.N,Qual é a cobra que desperta o tigre em você? A naja.,Não trocadilho
